id,label
00000,24
00001,2
00002,17
00003,14
00004,19
00005,2
00006,10
00007,23
00008,17
00009,28
00010,18
00011,21
00012,11
00013,13
00014,18
00015,15
00016,13
00017,8
00018,16
00019,26
00020,4
00021,18
00022,16
00023,12
00024,21
00025,11
00026,25
00027,8
00028,15
00029,15
00030,15
00031,1
00032,9
00033,5
00034,12
00035,28
00036,7
00037,4
00038,8
00039,28
00040,13
00041,6
00042,13
00043,23
00044,10
00045,26
00046,13
00047,1
00048,3
00049,10
00050,10
00051,20
00052,18
00053,6
00054,22
00055,19
00056,18
00057,9
00058,9
00059,13
00060,11
00061,18
00062,16
00063,16
00064,7
00065,4
00066,5
00067,26
00068,14
00069,11
00070,19
00071,17
00072,10
00073,18
00074,11
00075,24
00076,22
00077,7
00078,9
00079,24
00080,28
00081,11
00082,24
00083,10
00084,9
00085,27
00086,9
00087,17
00088,5
00089,24
00090,18
00091,28
00092,25
00093,1
00094,18
00095,16
00096,5
00097,10
00098,20
00099,22
00100,8
00101,5
00102,11
00103,28
00104,10
00105,17
00106,2
00107,22
00108,19
00109,2
00110,22
00111,12
00112,5
00113,13
00114,6
00115,13
00116,1
00117,5
00118,9
00119,1
00120,13
00121,21
00122,17
00123,1
00124,21
00125,12
00126,10
00127,17
00128,1
00129,21
00130,14
00131,15
00132,22
00133,12
00134,18
00135,16
00136,26
00137,28
00138,21
00139,15
00140,23
00141,17
00142,10
00143,6
00144,1
00145,12
00146,23
00147,8
00148,22
00149,13
00150,14
00151,19
00152,11
00153,9
00154,14
00155,21
00156,14
00157,10
00158,3
00159,15
00160,11
00161,14
00162,8
00163,19
00164,27
00165,10
00166,18
00167,25
00168,26
00169,24
00170,15
00171,19
00172,8
00173,5
00174,21
00175,9
00176,16
00177,13
00178,6
00179,8
00180,7
00181,14
00182,4
00183,22
00184,24
00185,14
00186,2
00187,6
00188,11
00189,1
00190,1
00191,2
00192,25
00193,18
00194,24
00195,9
00196,16
00197,21
00198,7
00199,13
00200,13
00201,8
00202,16
00203,8
00204,23
00205,23
00206,10
00207,23
00208,27
